,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.15,0.35,0.35,1,average:,3.35
student-id,Survey,Timesheet 1,Timesheet 2,Timesheet 3,Timesheet 4,Timesheet 5,Timesheet 6,Meetups,Project 1,Project 2,Final Score,Final Letter,Final GPA
7,1,1,1,1,1,1,1,1,1.13,1.081,1.07525,A,4.00
15,1,1,1,1,1,1,1,1,1.13,1.064,1.0679,A,4.00
9,1,1,1,1,1,1,1,1,1.17,1.016,1.065625,A,4.00
35,1,1,1,1,1,1,1,0.9975,1.12,1.043,1.0572,A,4.00
4,1,1,1,1,1,1,1,1,1.08,1.038,1.0427,A,4.00
16,1,1,1,1,0.6,0.6,1,0.965,1.13,1.0485,1.042625,A,4.00
44,1,0.6,1,1,1,1,1,0.965,1.13,1.025,1.0424,A,4.00
24,1,1,1,1,1,1,1,0.9825,1.03,1.069,1.031675,A,4.00
6,1,0.6,0.6,1,1,1,0.6,1,1.06,1.06,1.01765,A,4.00
46,1,0.6,1,1,1,1,1,0.93,1.11,0.949,1.0018,A,4.00
19,1,1,1,1,1,1,1,0.965,0.99,1.03,1.0014,A,4.00
27,1,1,1,1,1,1,1,1,0.96,1.027,0.99685,A,4.00
25,1,1,1,1,1,1,1,1,0.93,1.047,0.992475,A,4.00
3,1,1,1,0,1,1,1,0.93,1.06,0.9965,0.988925,A-,3.67
2,1,1,1,1,1,1,1,0.8,1.05,0.995,0.984525,A-,3.67
33,1,1,1,1,1,1,1,0.93,0.96,1.017,0.98285,A-,3.67
32,1,0.6,1,1,0.6,1,0.6,0.895,1.01,1.047,0.9816,A-,3.67
18,1,1,1,1,1,1,1,1,0.89,1.051,0.979,A-,3.67
39,1,0,1,1,1,1,0.6,0.96,1.00,1.017,0.97335,A-,3.67
11,1,1,1,1,0,1,1,1,0.99,0.974,0.96705,A-,3.67
43,1,0,0.6,0.6,1,1,1,0.93,0.99,1.031,0.9605,A-,3.67
26,1,1,1,1,0,0.6,1,0.93,1.02,0.962,0.9566,A-,3.67
45,1,1,1,1,0,0.6,0.6,0.9475,1.01,0.974,0.951925,A-,3.67
22,1,1,1,0,0.6,1,0,0.925,1.10,0.8965,0.9383,A-,3.67
28,1,1,1,1,0,1,1,0.96,0.88,1.017,0.937075,A-,3.67
14,1,1,1,1,1,0,1,0.965,0.99,0.876,0.9275,B+,3.33
40,1,1,1,1,0.6,0.6,1,0.9825,1.01,0.8335,0.927125,B+,3.33
34,1,0,1,1,1,0,1,1,0.94,0.962,0.92535,B+,3.33
13,1,0.6,1,1,1,1,1,0.93,1.09,0.7348,0.921055,B+,3.33
29,1,0,1,0.6,1,1,1,0.96,0.86,0.992,0.91385,B+,3.33
48,1,0.6,0.6,0,1,0.6,1,1,0.88,1,0.91365,B+,3.33
37,1,1,0,0.6,0,0.6,0.6,0.965,0.96,0.983,0.9122,B+,3.33
10,1,1,0.6,0.6,1,1,1,0.8,0.86,1.018,0.9106,B+,3.33
5,1,0,1,1,1,1,1,0.9825,0.95,0.857,0.909825,B+,3.33
30,1,0,1,1,1,1,1,0.925,0.94,0.876,0.904,B+,3.33
41,1,1,1,1,1,0.6,1,0.965,0.85,0.906,0.8996,B,3.00
17,1,0,1,1,1,0,1,0.965,0.81,1.017,0.89245,B,3.00
36,1,0.6,0.6,1,1,0.6,0.6,0.768,0.85,0.987,0.874925,B,3.00
50,1,1,0,1,1,0.6,1,0.93,0.84,0.8935,0.869625,B,3.00
38,1,0,0.6,1,0,0,0,0.8,0.93,1.013,0.860825,B,3.00
20,1,0,0.6,0,1,1,1,0.965,0.78,0.9575,0.85575,B,3.00
1,1,0,0.6,1,1,0,0,0.965,0.81,0.983,0.85395,B,3.00
49,1,0,1,1,1,0.6,1,0.712,0.84,0.9405,0.85075,B,3.00
21,0,0,1,1,1,1,1,0.965,0.83,0.8335,0.828375,B-,2.67
47,1,1,1,0,1,0,1,0.744,0.82,0.893,0.821675,B-,2.67
31,1,1,0.6,1,1,0.6,0,0,0.94,1.043,0.8063,B-,2.67
42,1,1,1,0,0.6,0.6,0,0.8,0.82,0.801,0.78275,C,2.00
8,1,1,1,1,1,1,1,0.965,0.91,0.42625,0.7638375,C,2.00
23,0,0,0.6,0,0,0,0,0,1.11,0.957,0.734225,C,2.00
12,1,1,1,1,1,1,1,0.8,0.98,0,0.61265,F,0.00
